cycle,time,voltage_measured,voltage_1rc,voltage_2rc
0,0.00,4.1915,4.1910,4.1910
0,16.78,4.1907,4.1913,4.1913
0,35.70,3.9749,3.9699,3.9681
0,53.78,3.9517,3.9603,3.9569
0,71.92,3.9344,3.9526,3.9479
0,90.09,3.9201,3.9449,3.9389
0,108.28,3.9079,3.9373,3.9302
0,126.45,3.8970,3.9303,3.9222
0,144.64,3.8875,3.9222,3.9132
0,162.84,3.8790,3.9154,3.9056
0,181.02,3.8710,3.9080,3.8975
0,199.22,3.8635,3.9007,3.8895
0,217.39,3.8567,3.8933,3.8816
0,235.59,3.8500,3.8859,3.8736
0,253.75,3.8438,3.8786,3.8659
0,271.98,3.8377,3.8713,3.8582
0,290.14,3.8319,3.8639,3.8504
0,308.36,3.8264,3.8566,3.8427
0,326.50,3.8211,3.8494,3.8352
0,344.75,3.8159,3.8417,3.8273
0,362.91,3.8107,3.8345,3.8199
0,381.05,3.8058,3.8286,3.8138
0,399.19,3.8011,3.8234,3.8084
0,417.28,3.7963,3.8190,3.8037
0,435.48,3.7914,3.8145,3.7991
0,453.67,3.7866,3.8098,3.7943
0,471.81,3.7821,3.8050,3.7894
0,490.20,3.7772,3.8005,3.7847
0,508.34,3.7724,3.7960,3.7802
0,526.62,3.7679,3.7912,3.7753
0,544.92,3.7632,3.7865,3.7705
0,563.12,3.7585,3.7818,3.7657
0,581.41,3.7542,3.7771,3.7609
0,599.66,3.7496,3.7725,3.7563
0,617.88,3.7452,3.7679,3.7516
0,636.05,3.7410,3.7633,3.7470
0,654.42,3.7367,3.7585,3.7421
0,672.59,3.7325,3.7539,3.7375
0,690.81,3.7284,3.7490,3.7326
0,708.94,3.7245,3.7448,3.7284
0,727.27,3.7207,3.7402,3.7237
0,745.58,3.7164,3.7358,3.7193
0,763.80,3.7128,3.7322,3.7156
0,782.11,3.7084,3.7279,3.7114
0,800.48,3.7048,3.7242,3.7077
0,818.80,3.7007,3.7202,3.7036
0,837.02,3.6968,3.7163,3.6997
0,855.25,3.6930,3.7124,3.6958
0,873.58,3.6892,3.7084,3.6918
0,891.81,3.6852,3.7047,3.6880
0,910.14,3.6815,3.7004,3.6838
0,928.39,3.6778,3.6968,3.6801
