cycle,time,soc_true,soc_coulomb,soc_ekf
0,0.00,1.0000,1.0000,1.0000
0,16.78,1.0000,1.0000,0.9993
0,35.70,0.9943,0.9947,0.9942
0,53.78,0.9889,0.9897,0.9887
0,71.92,0.9834,0.9846,0.9775
0,90.09,0.9779,0.9795,0.9732
0,108.28,0.9724,0.9744,0.9678
0,126.45,0.9670,0.9693,0.9605
0,144.64,0.9615,0.9642,0.9563
0,162.84,0.9560,0.9592,0.9504
0,181.02,0.9505,0.9541,0.9451
0,199.22,0.9450,0.9490,0.9398
0,217.39,0.9396,0.9439,0.9346
0,235.59,0.9341,0.9388,0.9295
0,253.75,0.9286,0.9337,0.9245
0,271.98,0.9231,0.9286,0.9195
0,290.14,0.9176,0.9236,0.9146
0,308.36,0.9122,0.9185,0.9094
0,326.50,0.9067,0.9134,0.9047
0,344.75,0.9012,0.9083,0.8997
0,362.91,0.8957,0.9032,0.8954
0,381.05,0.8903,0.8981,0.8904
0,399.19,0.8848,0.8931,0.8853
0,417.28,0.8794,0.8880,0.8803
0,435.48,0.8739,0.8829,0.8752
0,453.67,0.8684,0.8778,0.8701
0,471.81,0.8629,0.8728,0.8651
0,490.20,0.8574,0.8676,0.8599
0,508.34,0.8519,0.8626,0.8549
0,526.62,0.8464,0.8575,0.8498
0,544.92,0.8409,0.8523,0.8446
0,563.12,0.8354,0.8472,0.8395
0,581.41,0.8299,0.8421,0.8344
0,599.66,0.8244,0.8370,0.8293
0,617.88,0.8190,0.8319,0.8243
0,636.05,0.8135,0.8269,0.8192
0,654.42,0.8079,0.8217,0.8141
0,672.59,0.8025,0.8166,0.8091
0,690.81,0.7970,0.8115,0.8040
0,708.94,0.7915,0.8065,0.7990
0,727.27,0.7860,0.8014,0.7937
0,745.58,0.7805,0.7962,0.7886
0,763.80,0.7750,0.7912,0.7835
0,782.11,0.7695,0.7860,0.7784
0,800.48,0.7640,0.7809,0.7733
0,818.80,0.7585,0.7758,0.7682
0,837.02,0.7530,0.7707,0.7631
0,855.25,0.7475,0.7656,0.7580
0,873.58,0.7420,0.7605,0.7529
0,891.81,0.7365,0.7554,0.7478
0,910.14,0.7310,0.7503,0.7427
0,928.39,0.7255,0.7452,0.7376
0,946.72,0.7199,0.7400,0.7325
0,965.05,0.7144,0.7349,0.7274
0,983.39,0.7089,0.7298,0.7223
0,1001.77,0.7034,0.7247,0.7172
0,1020.17,0.6978,0.7195,0.7121
0,1038.59,0.6923,0.7144,0.7070
0,1056.92,0.6868,0.7092,0.7019
0,1075.20,0.6813,0.7041,0.6968
0,1093.69,0.6757,0.6990,0.6917
0,1112.00,0.6702,0.6938,0.6866
0,1130.33,0.6647,0.6887,0.6815
0,1148.75,0.6591,0.6836,0.6763
0,1167.12,0.6536,0.6784,0.6712
0,1185.64,0.6480,0.6733,0.6660
0,1203.98,0.6425,0.6681,0.6609
0,1222.41,0.6369,0.6630,0.6557
0,1240.80,0.6314,0.6578,0.6506
0,1259.16,0.6259,0.6527,0.6454
0,1277.55,0.6203,0.6476,0.6403
0,1295.91,0.6148,0.6424,0.6351
0,1314.30,0.6093,0.6373,0.6300
0,1332.69,0.6037,0.6322,0.6248
0,1351.20,0.5981,0.6270,0.6197
0,1369.69,0.5926,0.6218,0.6145
0,1388.12,0.5870,0.6167,0.6094
0,1406.58,0.5815,0.6115,0.6042
0,1425.06,0.5759,0.6063,0.5990
0,1443.61,0.5703,0.6011,0.5938
0,1462.05,0.5647,0.5960,0.5887
0,1480.55,0.5592,0.5908,0.5836
0,1499.03,0.5536,0.5856,0.5785
0,1517.67,0.5480,0.5804,0.5733
0,1536.11,0.5424,0.5753,0.5682
0,1554.78,0.5368,0.5700,0.5630
0,1573.28,0.5312,0.5649,0.5579
0,1591.86,0.5256,0.5597,0.5528
0,1610.41,0.5201,0.5545,0.5477
0,1628.95,0.5145,0.5493,0.5425
0,1647.56,0.5089,0.5441,0.5374
0,1666.06,0.5033,0.5389,0.5323
0,1684.66,0.4977,0.5337,0.5272
0,1703.22,0.4921,0.5286,0.5221
0,1721.89,0.4865,0.5233,0.5170
0,1740.44,0.4809,0.5181,0.5119
0,1759.02,0.4753,0.5130,0.5068
0,1777.64,0.4697,0.5078,0.5018
0,1796.33,0.4641,0.5025,0.4966
0,1815.05,0.4584,0.4973,0.4913
0,1833.75,0.4528,0.4921,0.4861
0,1852.39,0.4472,0.4868,0.4809
0,1871.08,0.4416,0.4816,0.4757
0,1889.84,0.4359,0.4764,0.4704
0,1908.58,0.4303,0.4712,0.4652
0,1927.28,0.4246,0.4659,0.4600
0,1946.03,0.4190,0.4607,0.4547
0,1964.89,0.4133,0.4554,0.4495
0,1983.70,0.4076,0.4502,0.4442
0,2002.48,0.4020,0.4449,0.4390
0,2021.19,0.3964,0.4397,0.4337
0,2039.91,0.3907,0.4344,0.4285
0,2058.64,0.3851,0.4292,0.4232
0,2077.41,0.3794,0.4240,0.4180
0,2096.31,0.3737,0.4187,0.4127
0,2115.05,0.3681,0.4134,0.4075
0,2133.97,0.3624,0.4081,0.4022
0,2152.81,0.3567,0.4029,0.3969
0,2171.62,0.3511,0.3976,0.3918
0,2190.55,0.3454,0.3923,0.3865
0,2209.42,0.3397,0.3871,0.3812
0,2228.30,0.3340,0.3818,0.3759
0,2247.22,0.3283,0.3765,0.3706
0,2265.97,0.3226,0.3712,0.3654
0,2284.94,0.3169,0.3659,0.3601
0,2303.86,0.3112,0.3607,0.3548
0,2322.80,0.3055,0.3554,0.3495
0,2341.77,0.2998,0.3501,0.3442
0,2360.59,0.2941,0.3448,0.3389
0,2379.58,0.2884,0.3395,0.3336
0,2398.67,0.2827,0.3342,0.3282
0,2417.80,0.2769,0.3288,0.3229
0,2436.91,0.2712,0.3235,0.3175
0,2455.97,0.2654,0.3181,0.3122
0,2474.98,0.2597,0.3128,0.3068
0,2494.03,0.2540,0.3075,0.3015
0,2513.19,0.2482,0.3021,0.2961
0,2532.39,0.2424,0.2968,0.2921
0,2551.55,0.2366,0.2914,0.2869
0,2570.58,0.2309,0.2861,0.2818
0,2589.70,0.2252,0.2808,0.2766
0,2608.80,0.2194,0.2754,0.2714
0,2627.95,0.2136,0.2701,0.2663
0,2647.23,0.2078,0.2647,0.2611
0,2666.52,0.2020,0.2593,0.2558
0,2685.81,0.1962,0.2539,0.2506
0,2704.97,0.1904,0.2485,0.2453
0,2724.20,0.1847,0.2432,0.2401
0,2743.45,0.1789,0.2378,0.2348
0,2762.62,0.1731,0.2324,0.2295
0,2781.92,0.1673,0.2270,0.2242
0,2801.25,0.1615,0.2216,0.2188
0,2820.62,0.1556,0.2162,0.2134
0,2839.94,0.1498,0.2108,0.2080
0,2859.23,0.1440,0.2054,0.2025
0,2878.58,0.1382,0.2000,0.1979
0,2897.94,0.1323,0.1946,0.1969
0,2917.28,0.1265,0.1892,0.1936
0,2936.69,0.1207,0.1838,0.1903
0,2956.08,0.1148,0.1784,0.1871
0,2975.45,0.1090,0.1729,0.1838
0,2994.97,0.1031,0.1675,0.1805
0,3014.45,0.0973,0.1620,0.1770
0,3033.89,0.0914,0.1566,0.1735
0,3053.38,0.0855,0.1512,0.1696
0,3072.86,0.0797,0.1457,0.1656
0,3092.33,0.0738,0.1403,0.1613
0,3111.83,0.0679,0.1348,0.1566
0,3131.23,0.0621,0.1294,0.1514
0,3150.67,0.0563,0.1240,0.1459
0,3170.19,0.0504,0.1185,0.1397
0,3189.73,0.0445,0.1131,0.1328
0,3209.30,0.0386,0.1076,0.1251
0,3229.02,0.0327,0.1021,0.1164
0,3248.62,0.0268,0.0966,0.1065
0,3268.33,0.0208,0.0911,0.0949
0,3287.97,0.0149,0.0856,0.0789
0,3307.62,0.0090,0.0801,0.0636
0,3327.23,0.0031,0.0746,0.0445
0,3346.94,0.0000,0.0691,0.0192
0,3366.78,0.0000,0.0691,0.0306
0,3386.64,0.0000,0.0691,0.0552
0,3406.66,0.0000,0.0691,0.0626
0,3426.62,0.0000,0.0691,0.0686
0,3446.88,0.0000,0.0691,0.0734
0,3466.98,0.0000,0.0691,0.0773
0,3487.08,0.0000,0.0691,0.0808
0,3507.33,0.0000,0.0691,0.0838
0,3527.56,0.0000,0.0691,0.0865
0,3547.78,0.0000,0.0691,0.0888
0,3568.06,0.0000,0.0691,0.0909
0,3588.33,0.0000,0.0691,0.0928
0,3608.59,0.0000,0.0690,0.0945
0,3628.95,0.0000,0.0690,0.0961
0,3649.38,0.0000,0.0690,0.0974
0,3669.88,0.0000,0.0690,0.0987
0,3690.23,0.0000,0.0690,0.1000
1,0.00,1.0000,1.0000,1.0000
1,16.67,1.0000,1.0000,0.9971
1,35.70,0.9942,0.9947,0.9922
1,53.83,0.9887,0.9896,0.9867
1,71.89,0.9833,0.9846,0.9805
1,90.05,0.9778,0.9795,0.9740
