cycle,soh_r0,soh_capacity
0,1.0000,1.0000
1,0.9523,0.9945
2,0.9509,0.9886
3,0.9384,0.9886
4,0.9340,0.9882
5,0.9194,0.9888
6,0.8774,0.9885
7,0.9647,0.9834
8,0.9572,0.9829
9,0.9457,0.9828
10,0.9092,0.9828
11,0.9748,0.9772
12,0.9617,0.9770
13,0.9537,0.9768
14,0.9691,0.9710
15,0.9657,0.9707
16,0.9636,0.9710
17,0.9542,0.9712
18,0.9308,0.9711
19,1.0000,0.9949
20,0.9488,0.9951
21,0.9951,0.9891
22,1.0000,0.9835
23,0.9840,0.9831
24,0.9667,0.9834
25,0.9958,0.9771
26,0.9794,0.9775
27,0.9505,0.9771
28,0.9777,0.9711
29,0.9689,0.9718
30,0.8220,0.9975
31,0.8437,0.9861
32,0.8233,0.9803
33,0.8076,0.9746
34,0.8103,0.9721
35,0.8248,0.9692
36,0.7869,0.9633
37,0.7627,0.9604
38,0.7762,0.9550
39,0.7776,0.9550
40,0.7711,0.9523
41,0.8010,0.9493
42,0.8800,0.9521
43,0.7753,0.9495
44,0.7710,0.9436
45,0.7699,0.9383
46,0.7240,0.9351
47,0.8203,0.9661
48,0.7957,0.9605
49,0.7759,0.9520
50,0.7650,0.9464
51,0.7644,0.9410
52,0.7462,0.9382
53,0.7452,0.9353
54,0.7260,0.9299
55,0.7396,0.9242
56,0.7407,0.9214
57,0.7311,0.9189
58,0.7220,0.9159
59,0.7067,0.9128
60,0.7223,0.9076
61,0.7090,0.9020
62,0.6997,0.9020
63,0.6940,0.8962
64,0.6975,0.8936
65,0.6879,0.8909
66,0.7188,0.8848
67,0.7137,0.8822
68,0.7288,0.8795
69,0.7301,0.8768
70,0.7402,0.8738
71,0.7024,0.8679
72,0.6991,0.8654
73,0.6808,0.8627
74,0.6821,0.8567
75,0.6737,0.8542
76,0.6687,0.8537
77,0.7029,0.8594
78,0.6729,0.8482
79,0.6673,0.8429
80,0.6588,0.8402
81,0.6524,0.8400
82,0.6535,0.8374
83,0.6468,0.8343
84,0.6244,0.8286
85,0.5806,0.8230
86,0.5758,0.8233
87,0.6506,0.8202
88,0.6197,0.8174
89,0.6312,0.8650
90,0.7003,0.8424
91,0.6524,0.8339
92,0.6567,0.8254
93,0.6065,0.8225
94,0.6289,0.8171
95,0.6268,0.8144
96,0.5958,0.8115
97,0.6074,0.8088
98,0.6114,0.8030
99,0.6005,0.8004
100,0.5467,0.7974
101,0.5922,0.7946
102,0.6425,0.8004
103,0.6284,0.8059
104,0.6168,0.7976
105,0.6016,0.7917
106,0.6478,0.7831
107,0.5813,0.7833
108,0.5321,0.7838
109,0.6030,0.7805
110,0.6108,0.7749
111,0.6201,0.7721
112,0.5675,0.7721
113,0.6070,0.7692
114,0.6280,0.7665
115,0.6006,0.7635
116,0.6328,0.7608
117,0.6168,0.7609
118,0.6168,0.7582
119,0.6189,0.7721
120,0.5265,0.7747
121,0.6172,0.7635
122,0.6340,0.7579
123,0.6380,0.7548
124,0.6353,0.7523
125,0.6457,0.7494
126,0.6470,0.7467
127,0.6479,0.7436
128,0.6210,0.7408
129,0.6278,0.7382
130,0.6166,0.7382
131,0.6211,0.7351
132,0.5886,0.7409
133,0.5716,0.7466
134,0.6404,0.7379
135,0.6152,0.7351
136,0.6651,0.7295
137,0.6529,0.7297
138,0.6078,0.7297
139,0.6549,0.7268
140,0.6570,0.7240
141,0.6244,0.7212
142,0.6585,0.7212
143,0.6292,0.7186
144,0.6362,0.7157
145,0.6687,0.7127
146,0.6452,0.7100
147,0.6734,0.7102
148,0.6717,0.7101
149,0.5985,0.7131
150,0.6133,0.7326
151,0.6665,0.7215
152,0.6775,0.7159
153,0.6414,0.7130
154,0.6482,0.7103
155,0.6849,0.7075
156,0.6434,0.7074
157,0.6862,0.7044
158,0.7026,0.7019
159,0.6821,0.7021
160,0.6838,0.7021
161,0.6944,0.6991
162,0.6859,0.6992
163,0.6892,0.6967
164,0.7012,0.6938
165,0.6894,0.6935
166,0.6162,0.7051
167,0.5795,0.7138
