cycle,time,voltage,soc,soh,r0,time_to_runaway,output_limit,status
0,0.00,4.1915,1.0000,1.0000,0.102240,6844700.00,1.00,0
0,16.78,4.1907,0.9993,1.0000,0.102241,6846576.00,1.00,0
0,35.70,3.9749,0.9942,1.0000,0.100376,6817264.00,1.00,0
0,53.78,3.9517,0.9887,1.0000,0.078181,6745589.00,1.00,0
0,71.92,3.9344,0.9775,1.0000,0.073751,6660703.50,1.00,0
0,90.09,3.9201,0.9732,1.0000,0.073305,6580675.50,1.00,0
0,108.28,3.9079,0.9678,1.0000,0.072864,6493949.00,1.00,0
0,126.45,3.8970,0.9605,1.0000,0.071844,6401952.00,1.00,0
0,144.64,3.8875,0.9563,1.0000,0.072234,6319376.50,1.00,0
0,162.84,3.8790,0.9504,1.0000,0.071939,6237212.00,1.00,0
0,181.02,3.8710,0.9451,1.0000,0.071897,6160614.00,1.00,0
0,199.22,3.8635,0.9398,1.0000,0.071888,6082171.50,1.00,0
0,217.39,3.8567,0.9346,1.0000,0.071900,6010525.50,1.00,0
0,235.59,3.8500,0.9295,1.0000,0.071907,5937447.00,1.00,0
0,253.75,3.8438,0.9245,1.0000,0.071924,5868422.50,1.00,0
0,271.98,3.8377,0.9195,1.0000,0.071915,5802027.00,1.00,0
0,290.14,3.8319,0.9146,1.0000,0.071850,5734129.00,1.00,0
0,308.36,3.8264,0.9094,1.0000,0.071657,5668549.50,1.00,0
0,326.50,3.8211,0.9047,1.0000,0.071567,5602394.50,1.00,0
0,344.75,3.8159,0.8997,1.0000,0.071319,5543383.50,1.00,0
0,362.91,3.8107,0.8954,1.0000,0.071602,5487191.50,1.00,0
0,381.05,3.8058,0.8904,1.0000,0.071686,5430035.00,1.00,0
0,399.19,3.8011,0.8853,1.0000,0.071633,5374131.00,1.00,0
0,417.28,3.7963,0.8803,1.0000,0.071676,5321754.00,1.00,0
0,435.48,3.7914,0.8752,1.0000,0.071731,5267546.50,1.00,0
0,453.67,3.7866,0.8701,1.0000,0.071762,5217124.00,1.00,0
0,471.81,3.7821,0.8651,1.0000,0.071738,5167765.00,1.00,0
0,490.20,3.7772,0.8599,1.0000,0.071790,5119039.00,1.00,0
0,508.34,3.7724,0.8549,1.0000,0.071842,5068326.50,1.00,0
0,526.62,3.7679,0.8498,1.0000,0.071806,5029681.50,1.00,0
0,544.92,3.7632,0.8446,1.0000,0.071815,4984253.00,1.00,0
